1,2,3,4,5 – parity: even
1,2,3,5,4 – parity: odd
1,2,4,3,5 – parity: odd
1,2,4,5,3 – parity: even
1,2,5,3,4 – parity: even
1,2,5,4,3 – parity: odd
1,3,2,4,5 – parity: odd
1,3,2,5,4 – parity: even
1,3,4,2,5 – parity: even
1,3,4,5,2 – parity: odd
1,3,5,2,4 – parity: odd
1,3,5,4,2 – parity: even
1,4,2,3,5 – parity: even
1,4,2,5,3 – parity: odd
1,4,3,2,5 – parity: odd
1,4,3,5,2 – parity: even
1,4,5,2,3 – parity: even
1,4,5,3,2 – parity: odd
1,5,2,3,4 – parity: odd
1,5,2,4,3 – parity: even
1,5,3,2,4 – parity: even
1,5,3,4,2 – parity: odd
1,5,4,2,3 – parity: odd
1,5,4,3,2 – parity: even
2,1,3,4,5 – parity: odd
2,1,3,5,4 – parity: even
2,1,4,3,5 – parity: even
2,1,4,5,3 – parity: odd
2,1,5,3,4 – parity: odd
2,1,5,4,3 – parity: even
2,3,1,4,5 – parity: even
2,3,1,5,4 – parity: odd
2,3,4,1,5 – parity: odd
2,3,4,5,1 – parity: even
2,3,5,1,4 – parity: even
2,3,5,4,1 – parity: odd
2,4,1,3,5 – parity: odd
2,4,1,5,3 – parity: even
2,4,3,1,5 – parity: even
2,4,3,5,1 – parity: odd
2,4,5,1,3 – parity: odd
2,4,5,3,1 – parity: even
2,5,1,3,4 – parity: even
2,5,1,4,3 – parity: odd
2,5,3,1,4 – parity: odd
2,5,3,4,1 – parity: even
2,5,4,1,3 – parity: even
2,5,4,3,1 – parity: odd
3,1,2,4,5 – parity: even
3,1,2,5,4 – parity: odd
3,1,4,2,5 – parity: odd
3,1,4,5,2 – parity: even
3,1,5,2,4 – parity: even
3,1,5,4,2 – parity: odd
3,2,1,4,5 – parity: odd
3,2,1,5,4 – parity: even
3,2,4,1,5 – parity: even
3,2,4,5,1 – parity: odd
3,2,5,1,4 – parity: odd
3,2,5,4,1 – parity: even
3,4,1,2,5 – parity: even
3,4,1,5,2 – parity: odd
3,4,2,1,5 – parity: odd
3,4,2,5,1 – parity: even
3,4,5,1,2 – parity: even
3,4,5,2,1 – parity: odd
3,5,1,2,4 – parity: odd
3,5,1,4,2 – parity: even
3,5,2,1,4 – parity: even
3,5,2,4,1 – parity: odd
3,5,4,1,2 – parity: odd
3,5,4,2,1 – parity: even
4,1,2,3,5 – parity: odd
4,1,2,5,3 – parity: even
4,1,3,2,5 – parity: even
4,1,3,5,2 – parity: odd
4,1,5,2,3 – parity: odd
4,1,5,3,2 – parity: even
4,2,1,3,5 – parity: even
4,2,1,5,3 – parity: odd
4,2,3,1,5 – parity: odd
4,2,3,5,1 – parity: even
4,2,5,1,3 – parity: even
4,2,5,3,1 – parity: odd
4,3,1,2,5 – parity: odd
4,3,1,5,2 – parity: even
4,3,2,1,5 – parity: even
4,3,2,5,1 – parity: odd
4,3,5,1,2 – parity: odd
4,3,5,2,1 – parity: even
4,5,1,2,3 – parity: even
4,5,1,3,2 – parity: odd
4,5,2,1,3 – parity: odd
4,5,2,3,1 – parity: even
4,5,3,1,2 – parity: even
4,5,3,2,1 – parity: odd
5,1,2,3,4 – parity: even
5,1,2,4,3 – parity: odd
5,1,3,2,4 – parity: odd
5,1,3,4,2 – parity: even
5,1,4,2,3 – parity: even
5,1,4,3,2 – parity: odd
5,2,1,3,4 – parity: odd
5,2,1,4,3 – parity: even
5,2,3,1,4 – parity: even
5,2,3,4,1 – parity: odd
5,2,4,1,3 – parity: odd
5,2,4,3,1 – parity: even
5,3,1,2,4 – parity: even
5,3,1,4,2 – parity: odd
5,3,2,1,4 – parity: odd
5,3,2,4,1 – parity: even
5,3,4,1,2 – parity: even
5,3,4,2,1 – parity: odd
5,4,1,2,3 – parity: odd
5,4,1,3,2 – parity: even
5,4,2,1,3 – parity: even
5,4,2,3,1 – parity: odd
5,4,3,1,2 – parity: odd
5,4,3,2,1 – parity: even
